Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/contact,41,36,3.1321379999553756,5.530200195108791,3.1321379999553756,26.682331999836606,203.0,1.4153194772268423,1.2427195409796663,3,4,4,4,10,23,27,27,27,27,27
GET,/api/contact/submissions?limit=10,102,0,5,6.129514519612962,3.8456639999822073,26.382173000001785,3918.6666666666665,3.521038699442388,0.0,5,6,6,6,8,10,14,25,26,26,26
,Aggregated,143,36,5,5.957683139860018,3.1321379999553756,26.682331999836606,2853.335664335664,4.93635817666923,1.2427195409796663,5,5,6,6,8,12,25,26,27,27,27
