Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/contact,32,27,3.040112999997291,5.441920343756124,3.040112999997291,36.69419499999549,203.53125,1.1076619965761425,0.9345898096111203,3,3,4,4,9,16,37,37,37,37,37
GET,/api/contact/submissions?limit=10,106,0,6,6.843837669810815,5.333966000080181,23.90215199989143,1938.8962264150944,3.669130363658472,0.0,6,6,7,7,8,12,18,18,24,24,24
,Aggregated,138,27,6,6.51875539130538,3.040112999997291,36.69419499999549,1536.4927536231885,4.776792360234614,0.9345898096111203,6,6,6,7,9,12,18,24,37,37,37
